index	cluster95	Domain	phylum	class	order	family	genus	species	subspecies	Label
0442001001	0442	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900317855	001001	CAG-103 sp900317855 001001
0442001002	0442	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900317855	001002	CAG-103 sp900317855 001002
0442001005	0442	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900317855	001005	CAG-103 sp900317855 001005
0444001003	0444	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q symbiosum	001003	Clostridium_Q symbiosum 001003
0444001001	0444	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q symbiosum	001001	Clostridium_Q symbiosum 001001
0446001002	0446	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp001517625	001002	Enterocloster sp001517625 001002
0446001003	0446	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp001517625	001003	Enterocloster sp001517625 001003
0446001001	0446	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp001517625	001001	Enterocloster sp001517625 001001
0447001001	0447	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900541315	001001	Enterocloster sp900541315 001001
0447001002	0447	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900541315	001002	Enterocloster sp900541315 001002
0449001001	0449	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens_H	001001	Collinsella aerofaciens_H 001001
0451001003	0451	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas butyriciproducens	001003	Intestinimonas butyriciproducens 001003
0451001002	0451	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas butyriciproducens	001002	Intestinimonas butyriciproducens 001002
0451001001	0451	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas butyriciproducens	001001	Intestinimonas butyriciproducens 001001
0453001001	0453	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp900539705	001001	CAG-127 sp900539705 001001
0453001002	0453	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp900539705	001002	CAG-127 sp900539705 001002
0456001001	0456	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900540945	001001	Collinsella sp900540945 001001
0464001001	0464	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003469205	001001	Collinsella sp003469205 001001
0472001001	0472	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900541145	001001	Collinsella sp900541145 001001
0479001001	0479	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp900548615	001001	CAG-83 sp900548615 001001
0480001001	0480	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter fastidiosus	001001	Coprobacter fastidiosus 001001
0480001002	0480	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter fastidiosus	001002	Coprobacter fastidiosus 001002
0481001001	0481	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900317855	001001	CAG-103 sp900317855 001001
0481001003	0481	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900317855	001003	CAG-103 sp900317855 001003
