Value	Feature	test_study	data_type	random_state
0	0560001005	VogtmannE_2016	subspecies	424
3	0560001009	VogtmannE_2016	subspecies	424
0	0561001001	VogtmannE_2016	subspecies	424
0	0567001003	VogtmannE_2016	subspecies	424
11	0567001004	VogtmannE_2016	subspecies	424
4	0568001001	VogtmannE_2016	subspecies	424
1	0568001002	VogtmannE_2016	subspecies	424
4	0569001002	VogtmannE_2016	subspecies	424
6	0584001001	VogtmannE_2016	subspecies	424
0	0586001001	VogtmannE_2016	subspecies	424
4	0588001001	VogtmannE_2016	subspecies	424
19	0592001001	VogtmannE_2016	subspecies	424
3	0595001001	VogtmannE_2016	subspecies	424
3	0597001001	VogtmannE_2016	subspecies	424
0	0597001002	VogtmannE_2016	subspecies	424
0	0597001003	VogtmannE_2016	subspecies	424
1	0601001001	VogtmannE_2016	subspecies	424
19	0601001003	VogtmannE_2016	subspecies	424
5	0601001004	VogtmannE_2016	subspecies	424
0	0606001001	VogtmannE_2016	subspecies	424
46	0606001002	VogtmannE_2016	subspecies	424
5	0615001001	VogtmannE_2016	subspecies	424
3	0615001002	VogtmannE_2016	subspecies	424
0	0621001001	VogtmannE_2016	subspecies	424
35	0623001001	VogtmannE_2016	subspecies	424
3	0628001001	VogtmannE_2016	subspecies	424
5	0631001001	VogtmannE_2016	subspecies	424
2	0643001001	VogtmannE_2016	subspecies	424
2	0648001001	VogtmannE_2016	subspecies	424
28	0649001001	VogtmannE_2016	subspecies	424
1	0650001001	VogtmannE_2016	subspecies	424
0	0655001001	VogtmannE_2016	subspecies	424
1	0655001003	VogtmannE_2016	subspecies	424
3	0688001001	VogtmannE_2016	subspecies	424
3	0688001002	VogtmannE_2016	subspecies	424
0	0696001001	VogtmannE_2016	subspecies	424
20	0696001002	VogtmannE_2016	subspecies	424
26	0701001001	VogtmannE_2016	subspecies	424
16	0701001002	VogtmannE_2016	subspecies	424
19	0701001003	VogtmannE_2016	subspecies	424
0	0712001001	VogtmannE_2016	subspecies	424
2	0719001001	VogtmannE_2016	subspecies	424
1	0719001002	VogtmannE_2016	subspecies	424
2	0733001001	VogtmannE_2016	subspecies	424
